point_id,emission,lat,lon,river_name
7018,1.88407,1.5695833333849691,98.80958333332694,Batang Lumut
7019,0.197301,1.5691666668829498,110.48958333332617,Batang Samarahan
7020,0.199589,1.5712499965574125,110.53999999999309,Batang Samarahan
7021,0.137646,1.5720833333848532,98.81041666666027,Batang Lumut
7022,0.872318,1.5720833333848532,109.11041666665956,
7023,0.190855,1.5720833333848532,110.44541666665964,Muara Tebas
7024,0.505355,1.5720833333848532,125.16374999999256,
7025,0.399806,1.5729166667182426,110.9954166666596,Lupar River
7026,0.246681,1.5829166667185746,110.4654166666598,Muara Tebas
7027,0.144994,1.5829166632239549,110.53083333332631,Batang Samarahan
7028,0.104693,1.582916666718404,127.547083333326,
7029,0.111369,1.5837500000519071,110.4245833333265,Santubong River
7030,10.3626,1.5845833333852966,110.63624999999308,Sungai Sampun
7031,0.803252,1.5854166667186291,110.43374999999293,Muara Tebas
7032,0.378774,1.5862500000520183,110.54708333332631,Batang Samarahan
7033,0.134826,1.5891666668846938,109.13374999999314,
7034,0.132342,1.593750001479748,118.20208333435016,Sungai Dumaring
7035,2.86502,1.5970833333855126,110.60291666665955,Sungai Asajaya
7036,0.336441,1.5995833333854534,109.1537499999929,
7037,0.272657,1.5995833333854534,124.85874999999236,
7038,3.54523,1.5995833333854534,124.86458333332588,
7039,0.676141,1.5995833333854534,127.99958333332552,
7040,0.887258,1.602916666719068,125.145416666659,
7041,15.0855,1.60375000005223,98.82291666665998,Batang Lumut
7042,0.108684,1.60375000005223,118.1862499999927,Sungai Dumaring
7043,0.181961,1.608750000052396,109.17374999999322,
7044,0.729727,1.608750000052396,127.5529166666588,
7045,6.50286,1.6179166667193954,124.87208333332592,
7046,208.384,1.6187500000525574,111.27958333332629,Krai River
7047,1.05697,1.6187500000525574,127.98874999999236,
7048,0.701087,1.621250000052612,109.19958333332652,
7049,0.291664,1.6229166667195614,111.22374999999306,Krai River
7050,0.744884,1.6245833333862834,110.46458333332625,Muara Tebas
7051,0.163491,1.6270833333861674,111.27791666665972,Krai River
7052,0.495504,1.6279166667195,98.84041666666002,Batang Lumut
7053,0.308221,1.6295833333864491,111.1645833333264,Krai River
7054,0.841597,1.6304166632244232,98.84083333332688,Batang Lumut
7055,0.925723,1.630416666719782,109.216249999993,
7056,0.795848,1.630416666719782,111.18958333332633,Bulin River
7057,0.148312,1.631250000052944,111.26624999999284,Krai River
7058,0.210725,1.6320833333863334,111.25041666665952,Krai River
7059,0.540669,1.6370833333864994,101.59041666666002,
7060,2.43531,1.6366666676938166,110.23500000080384,Sungai Sibu Laut
7061,0.999179,1.6387500000532214,101.55541666666012,
7062,0.844672,1.639583333386554,111.15124999999296,Krai River
7063,0.924402,1.639583333386554,127.99791666665897,
7064,5.01847,1.6425000002229808,101.54208333332669,Palas
7065,0.219136,1.6429166667198274,111.2270833333265,Krai River
7066,0.980062,1.6437500000532168,109.236249999993,
7067,0.165319,1.6462500000532714,110.25458333332654,Sungai Sibu Laut
7068,1.15994,1.6504166667201048,101.52291666665992,Palas
7069,0.456648,1.651249996557965,110.22999999999293,Sungai Sibu Laut
7070,0.291258,1.6587500000535442,101.50874999999348,Dumai
7071,0.26897,1.6600000002246134,101.65458333332668,
7072,0.138359,1.6604166667202662,101.7579166666601,
7073,0.401629,1.661250000053769,127.9912499999923,
7074,3.89861,1.662083329891118,111.02499999999304,Maludam River
7075,0.178275,1.6629166667203208,124.92291666665938,
7076,0.370734,1.6637500000537102,124.92708333332588,
7077,0.242239,1.6645833333870428,101.66624999999355,
7078,0.861149,1.6645833298911723,127.5808333333258,
7079,2.22119,1.6654166667204322,110.13041666665964,Sungai Rayu
7080,0.633308,1.6654166667204322,111.1437499999929,Krai River
7081,2.81431,1.6650000002251772,125.11291666665907,
7082,2.45183,1.6679166667204868,110.13541666665964,Sungai Rayu
7083,1.47899,1.6695833333872088,109.25874999999304,
7084,0.270566,1.6704166667205982,127.99708333332546,
7085,0.125172,1.6737500000538716,125.0595833333258,
7086,3.66682,1.6737500000538716,125.06124999999248,
7087,5.8591,1.6745833333873748,110.3004166666596,Sungai Loba Pelait
7088,0.449757,1.6762500000540967,111.07708333332612,Sungai Melebu
7089,0.553164,1.6770833333874862,109.97708333332656,Kayan River
7090,0.750035,1.6770833333874862,110.42208333332644,Bako River
7091,3.28248,1.6779166667206482,98.82624999999342,Aek Bargot
7092,38.454,1.6779166667206482,101.48624999999328,Palas
